week,rep,calls,emails,meetings,demos,won_deals,lost_deals,pipeline_usd
2025-W20,Ada,148,214,17,9,3,2,194000
2025-W20,Noah,121,188,14,7,2,3,156000
2025-W20,Mila,134,205,16,8,4,1,213000
2025-W20,Liam,109,176,12,6,1,3,127000
2025-W21,Ada,152,220,18,10,4,2,207000
2025-W21,Noah,116,180,13,6,2,4,149000
2025-W21,Mila,141,212,17,9,3,2,221000
2025-W21,Liam,113,184,12,7,2,2,136000
2025-W22,Ada,157,229,18,11,4,1,219000
2025-W22,Noah,119,186,14,7,2,3,161000
2025-W22,Mila,146,218,18,9,4,1,233000
2025-W22,Liam,118,191,13,8,2,2,143000
2025-W23,Ada,161,235,19,11,5,1,229000
2025-W23,Noah,123,193,15,8,3,2,174000
2025-W23,Mila,151,225,18,10,4,1,241000
2025-W23,Liam,122,198,14,8,2,2,151000
